"Linux 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
avg-cpu:  %user   %nice %system %iowait  %steal   %idle;;;;;;;;;avg-cpu:;%user;%nice;%system;%iowait;%steal;%idle
           0,09    0,00    0,08    0,04    0,00   99,80;;;;;;;;;;0,09;0;0,08;0,04;0;99,8
;;;;;;;;;;;;;;;
Device:            tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn;;;;;;;;;Device:;tps;kB_read/s;kB_wrtn/s;kB_read;kB_wrtn;
sda               1,87         0,59        27,05    2637599  120070893;;;;;;;;;sda;1,87;0,59;27,05;2637599;120070893;
;;;;;;;;;;;;;;;
avg-cpu:  %user   %nice %system %iowait  %steal   %idle;;;;;;;;;avg-cpu:;%user;%nice;%system;%iowait;%steal;%idle
           0,12    0,00    0,10    0,02    0,00   99,77;;;;;;;;;;0,12;0;0,1;0,02;0;99,77
;;;;;;;;;;;;;;;
Device:            tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn;;;;;;;;;Device:;tps;kB_read/s;kB_wrtn/s;kB_read;kB_wrtn;
sda               1,80         0,00        21,20          0        212;;;;;;;;;sda;1,8;0;21,2;0;212;
;;;;;;;;;;;;;;;
avg-cpu:  %user   %nice %system %iowait  %steal   %idle;;;;;;;;;avg-cpu:;%user;%nice;%system;%iowait;%steal;%idle
           0,17    0,00    0,12    0,00    0,00   99,72;;;;;;;;;;0,17;0;0,12;0;0;99,72
;;;;;;;;;;;;;;;
Device:            tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn;;;;;;;;;Device:;tps;kB_read/s;kB_wrtn/s;kB_read;kB_wrtn;
sda               0,90         0,00         9,20          0         92;;;;;;;;;sda;0,9;0;9,2;0;92;
;;;;;;;;;;;;;;;
avg-cpu:  %user   %nice %system %iowait  %steal   %idle;;;;;;;;;avg-cpu:;%user;%nice;%system;%iowait;%steal;%idle
           0,08    0,00    0,12    0,05    0,00   99,75;;;;;;;;;;0,08;0;0,12;0,05;0;99,75
;;;;;;;;;;;;;;;
Device:            tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn;;;;;;;;;Device:;tps;kB_read/s;kB_wrtn/s;kB_read;kB_wrtn;
sda               1,60         0,00        23,20          0        232;;;;;;;;;sda;1,6;0;23,2;0;232;
;;;;;;;;;;;;;;;
avg-cpu:  %user   %nice %system %iowait  %steal   %idle;;;;;;;;;avg-cpu:;%user;%nice;%system;%iowait;%steal;%idle
           0,18    0,00    0,25    0,05    0,00   99,52;;;;;;;;;;0,18;0;0,25;0,05;0;99,52
;;;;;;;;;;;;;;;
Device:            tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn;;;;;;;;;Device:;tps;kB_read/s;kB_wrtn/s;kB_read;kB_wrtn;
sda               1,50         0,00        16,80          0        168;;;;;;;;;sda;1,5;0;16,8;0;168;
;;;;;;;;;;;;;;;
avg-cpu:  %user   %nice %system %iowait  %steal   %idle;;;;;;;;;avg-cpu:;%user;%nice;%system;%iowait;%steal;%idle
           0,12    0,00    0,10    0,02    0,00   99,77;;;;;;;;;;0,12;0;0,1;0,02;0;99,77
;;;;;;;;;;;;;;;
Device:            tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn;;;;;;;;;Device:;tps;kB_read/s;kB_wrtn/s;kB_read;kB_wrtn;
sda               2,70         0,00        20,00          0        200;;;;;;;;;sda;2,7;0;20;0;200;
;;;;;;;;;;;;;;;
avg-cpu:  %user   %nice %system %iowait  %steal   %idle;;;;;;;;;avg-cpu:;%user;%nice;%system;%iowait;%steal;%idle
           0,13    0,00    0,18    0,05    0,00   99,63;;;;;;;;;;0,13;0;0,18;0,05;0;99,63
;;;;;;;;;;;;;;;
Device:            tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn;;;;;;;;;Device:;tps;kB_read/s;kB_wrtn/s;kB_read;kB_wrtn;
sda               2,60         0,00        33,60          0        336;;;;;;;;;sda;2,6;0;33,6;0;336;
;;;;;;;;;;;;;;;
avg-cpu:  %user   %nice %system %iowait  %steal   %idle;;;;;;;;;avg-cpu:;%user;%nice;%system;%iowait;%steal;%idle
           0,15    0,00    0,18    0,03    0,00   99,63;;;;;;;;;;0,15;0;0,18;0,03;0;99,63
;;;;;;;;;;;;;;;
Device:            tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn;;;;;;;;;Device:;tps;kB_read/s;kB_wrtn/s;kB_read;kB_wrtn;
sda               3,20         0,00        36,00          0        360;;;;;;;;;sda;3,2;0;36;0;360;
;;;;;;;;;;;;;;;
avg-cpu:  %user   %nice %system %iowait  %steal   %idle;;;;;;;;;avg-cpu:;%user;%nice;%system;%iowait;%steal;%idle
           0,12    0,00    0,08    0,03    0,00   99,77;;;;;;;;;;0,12;0;0,08;0,03;0;99,77
;;;;;;;;;;;;;;;
Device:            tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn;;;;;;;;;Device:;tps;kB_read/s;kB_wrtn/s;kB_read;kB_wrtn;
sda               3,20         0,00        18,00          0        180;;;;;;;;;sda;3,2;0;18;0;180;
;;;;;;;;;;;;;;;
avg-cpu:  %user   %nice %system %iowait  %steal   %idle;;;;;;;;;avg-cpu:;%user;%nice;%system;%iowait;%steal;%idle
           0,05    0,00    0,08    0,02    0,00   99,85;;;;;;;;;;0,05;0;0,08;0,02;0;99,85
;;;;;;;;;;;;;;;
Device:            tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn;;;;;;;;;Device:;tps;kB_read/s;kB_wrtn/s;kB_read;kB_wrtn;
sda               1,90         0,00        20,80          0        208;;;;;;;;;sda;1,9;0;20,8;0;208;
;;;;;;;;;;;;;;;
