", 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
07:57:27 AM       tps      rtps      wtps   bread/s   bwrtn/s;;;;;;;;7:57:27;AM;tps;rtps;wtps;bread/s;bwrtn/s
07:57:37 AM      0,90      0,00      0,90      0,00     26,40;;;;;;;;7:57:37;AM;0,9;0;0,9;0;26,4
07:57:47 AM      2,80      0,00      2,80      0,00     49,60;;;;;;;;7:57:47;AM;2,8;0;2,8;0;49,6
07:57:57 AM      2,80      0,00      2,80      0,00     63,20;;;;;;;;7:57:57;AM;2,8;0;2,8;0;63,2
07:58:07 AM      1,00      0,00      1,00      0,00     24,00;;;;;;;;7:58:07;AM;1;0;1;0;24
07:58:17 AM      5,20      0,00      5,20      0,00     88,80;;;;;;;;7:58:17;AM;5,2;0;5,2;0;88,8
07:58:27 AM      2,20      0,00      2,20      0,00     40,80;;;;;;;;7:58:27;AM;2,2;0;2,2;0;40,8
07:58:37 AM      1,30      0,00      1,30      0,00     28,80;;;;;;;;7:58:37;AM;1,3;0;1,3;0;28,8
07:58:47 AM      1,50      0,00      1,50      0,00     33,60;;;;;;;;7:58:47;AM;1,5;0;1,5;0;33,6
07:58:57 AM      2,90      0,00      2,90      0,00     38,40;;;;;;;;7:58:57;AM;2,9;0;2,9;0;38,4
07:59:07 AM      1,40      0,00      1,40      0,00     29,60;;;;;;;;7:59:07;AM;1,4;0;1,4;0;29,6
07:59:17 AM      1,80      0,00      1,80      0,00     36,00;;;;;;;;7:59:17;AM;1,8;0;1,8;0;36
07:59:27 AM      2,70      0,00      2,70      0,00     49,60;;;;;;;;7:59:27;AM;2,7;0;2,7;0;49,6
07:59:37 AM      0,80      0,00      0,80      0,00     18,40;;;;;;;;7:59:37;AM;0,8;0;0,8;0;18,4
07:59:47 AM      1,50      0,00      1,50      0,00     32,80;;;;;;;;7:59:47;AM;1,5;0;1,5;0;32,8
