"Linux 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
07:57:21 AM kbmemfree kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty;;;;;;;;;;;;;7:57:21;AM;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
07:57:31 AM   1542800   6447220     80,69    179172   4695296   2863956     35,84   5068476    951488       108;;;;;;;;;;;;;7:57:31;AM;1542800;6447220;80,69;179172;4695296;2863956;35,84;5068476;951488;108
07:57:41 AM   1544000   6446020     80,68    179172   4695304   2863060     35,83   5066300    951472       104;;;;;;;;;;;;;7:57:41;AM;1544000;6446020;80,68;179172;4695304;2863060;35,83;5066300;951472;104
07:57:51 AM   1544016   6446004     80,68    179172   4695308   2863060     35,83   5066328    951472        76;;;;;;;;;;;;;7:57:51;AM;1544016;6446004;80,68;179172;4695308;2863060;35,83;5066328;951472;76
07:58:01 AM   1544048   6445972     80,68    179172   4695312   2863640     35,84   5066416    951472        64;;;;;;;;;;;;;7:58:01;AM;1544048;6445972;80,68;179172;4695312;2863640;35,84;5066416;951472;64
07:58:11 AM   1544296   6445724     80,67    179172   4695316   2864012     35,84   5066228    951472       120;;;;;;;;;;;;;7:58:11;AM;1544296;6445724;80,67;179172;4695316;2864012;35,84;5066228;951472;120
07:58:21 AM   1544296   6445724     80,67    179172   4695320   2864012     35,84   5066240    951472        56;;;;;;;;;;;;;7:58:21;AM;1544296;6445724;80,67;179172;4695320;2864012;35,84;5066240;951472;56
07:58:31 AM   1543544   6446476     80,68    179172   4695328   2864012     35,84   5067016    951472        96;;;;;;;;;;;;;7:58:31;AM;1543544;6446476;80,68;179172;4695328;2864012;35,84;5067016;951472;96
07:58:41 AM   1543808   6446212     80,68    179172   4695336   2863776     35,84   5066464    951472        84;;;;;;;;;;;;;7:58:41;AM;1543808;6446212;80,68;179172;4695336;2863776;35,84;5066464;951472;84
07:58:51 AM   1543824   6446196     80,68    179172   4695340   2863776     35,84   5066472    951472        44;;;;;;;;;;;;;7:58:51;AM;1543824;6446196;80,68;179172;4695340;2863776;35,84;5066472;951472;44
07:59:01 AM   1543436   6446584     80,68    179172   4695348   2863776     35,84   5067228    951472        92;;;;;;;;;;;;;7:59:01;AM;1543436;6446584;80,68;179172;4695348;2863776;35,84;5067228;951472;92
07:59:11 AM   1543476   6446544     80,68    179172   4695352   2863172     35,83   5066240    951472        96;;;;;;;;;;;;;7:59:11;AM;1543476;6446544;80,68;179172;4695352;2863172;35,83;5066240;951472;96
07:59:21 AM   1543428   6446592     80,68    179172   4695360   2863172     35,83   5066280    951476        96;;;;;;;;;;;;;7:59:21;AM;1543428;6446592;80,68;179172;4695360;2863172;35,83;5066280;951476;96
07:59:31 AM   1543468   6446552     80,68    179172   4695364   2863644     35,84   5066500    951472       108;;;;;;;;;;;;;7:59:31;AM;1543468;6446552;80,68;179172;4695364;2863644;35,84;5066500;951472;108
07:59:41 AM   1543624   6446396     80,68    179172   4695380   2863880     35,84   5067228    951472       124;;;;;;;;;;;;;7:59:41;AM;1543624;6446396;80,68;179172;4695380;2863880;35,84;5067228;951472;124
07:59:51 AM   1543500   6446520     80,68    179172   4695384   2864016     35,84   5067264    951472       120;;;;;;;;;;;;;7:59:51;AM;1543500;6446520;80,68;179172;4695384;2864016;35,84;5067264;951472;120
08:00:01 AM   1542720   6447300     80,69    179172   4695392   2864048     35,85   5067324    951472        88;;;;;;;;;;;;;8:00:01;AM;1542720;6447300;80,69;179172;4695392;2864048;35,85;5067324;951472;88
08:00:11 AM   1542472   6447548     80,70    179172   4695400   2863792     35,84   5067324    951472       148;;;;;;;;;;;;;8:00:11;AM;1542472;6447548;80,7;179172;4695400;2863792;35,84;5067324;951472;148
08:00:21 AM   1542504   6447516     80,69    179172   4695404   2863792     35,84   5067332    951472       152;;;;;;;;;;;;;8:00:21;AM;1542504;6447516;80,69;179172;4695404;2863792;35,84;5067332;951472;152
08:00:31 AM   1543224   6446796     80,69    179172   4695412   2863992     35,84   5066428    951476        72;;;;;;;;;;;;;8:00:31;AM;1543224;6446796;80,69;179172;4695412;2863992;35,84;5066428;951476;72
08:00:41 AM   1542712   6447308     80,69    179172   4695420   2863756     35,84   5067092    951476        48;;;;;;;;;;;;;8:00:41;AM;1542712;6447308;80,69;179172;4695420;2863756;35,84;5067092;951476;48
08:00:51 AM   1542496   6447524     80,69    179172   4695428   2863756     35,84   5067548    951472       136;;;;;;;;;;;;;8:00:51;AM;1542496;6447524;80,69;179172;4695428;2863756;35,84;5067548;951472;136
08:01:01 AM   1541940   6448080     80,70    179172   4695432   2864064     35,85   5067044    951472       124;;;;;;;;;;;;;8:01:01;AM;1541940;6448080;80,7;179172;4695432;2864064;35,85;5067044;951472;124
08:01:11 AM   1541580   6448440     80,71    179172   4695440   2863780     35,84   5067564    951476        88;;;;;;;;;;;;;8:01:11;AM;1541580;6448440;80,71;179172;4695440;2863780;35,84;5067564;951476;88
08:01:21 AM   1542384   6447636     80,70    179172   4695448   2863152     35,83   5067412    951476       124;;;;;;;;;;;;;8:01:21;AM;1542384;6447636;80,7;179172;4695448;2863152;35,83;5067412;951476;124
08:01:31 AM   1542008   6448012     80,70    179172   4695452   2863400     35,84   5068284    951476       140;;;;;;;;;;;;;8:01:31;AM;1542008;6448012;80,7;179172;4695452;2863400;35,84;5068284;951476;140
08:01:41 AM   1542024   6447996     80,70    179172   4695464   2863148     35,83   5068356    951480       128;;;;;;;;;;;;;8:01:41;AM;1542024;6447996;80,7;179172;4695464;2863148;35,83;5068356;951480;128
08:01:51 AM   1542284   6447736     80,70    179172   4695472   2863168     35,83   5068304    951476        76;;;;;;;;;;;;;8:01:51;AM;1542284;6447736;80,7;179172;4695472;2863168;35,83;5068304;951476;76
08:02:01 AM   1541696   6448324     80,70    179172   4695476   2863648     35,84   5068352    951476       100;;;;;;;;;;;;;8:02:01;AM;1541696;6448324;80,7;179172;4695476;2863648;35,84;5068352;951476;100
08:02:11 AM   1541448   6448572     80,71    179172   4695480   2863884     35,84   5068304    951476       120;;;;;;;;;;;;;8:02:11;AM;1541448;6448572;80,71;179172;4695480;2863884;35,84;5068304;951476;120
08:02:21 AM   1541448   6448572     80,71    179172   4695488   2863884     35,84   5068320    951476        60;;;;;;;;;;;;;8:02:21;AM;1541448;6448572;80,71;179172;4695488;2863884;35,84;5068320;951476;60
08:02:31 AM   1541112   6448908     80,71    179172   4695492   2863996     35,84   5068500    951476       104;;;;;;;;;;;;;8:02:31;AM;1541112;6448908;80,71;179172;4695492;2863996;35,84;5068500;951476;104
08:02:41 AM   1541052   6448968     80,71    179172   4695500   2863760     35,84   5068632    951476       116;;;;;;;;;;;;;8:02:41;AM;1541052;6448968;80,71;179172;4695500;2863760;35,84;5068632;951476;116
08:02:51 AM   1541036   6448984     80,71    179172   4695508   2863760     35,84   5068640    951476       132;;;;;;;;;;;;;8:02:51;AM;1541036;6448984;80,71;179172;4695508;2863760;35,84;5068640;951476;132
08:03:01 AM   1541084   6448936     80,71    179172   4695512   2864012     35,84   5068720    951476        92;;;;;;;;;;;;;8:03:01;AM;1541084;6448936;80,71;179172;4695512;2864012;35,84;5068720;951476;92
08:03:11 AM   1540960   6449060     80,71    179172   4695520   2863776     35,84   5069120    951480       108;;;;;;;;;;;;;8:03:11;AM;1540960;6449060;80,71;179172;4695520;2863776;35,84;5069120;951480;108
08:03:21 AM   1540976   6449044     80,71    179172   4695532   2863164     35,83   5068796    951480       144;;;;;;;;;;;;;8:03:21;AM;1540976;6449044;80,71;179172;4695532;2863164;35,83;5068796;951480;144
08:03:31 AM   1540688   6449332     80,72    179172   4695536   2863404     35,84   5069056    951476       100;;;;;;;;;;;;;8:03:31;AM;1540688;6449332;80,72;179172;4695536;2863404;35,84;5069056;951476;100
08:03:41 AM   1540408   6449612     80,72    179172   4695548   2863152     35,83   5069132    951480       116;;;;;;;;;;;;;8:03:41;AM;1540408;6449612;80,72;179172;4695548;2863152;35,83;5069132;951480;116
08:03:51 AM   1541352   6448668     80,71    179172   4695556   2863140     35,83   5069076    951480       124;;;;;;;;;;;;;8:03:51;AM;1541352;6448668;80,71;179172;4695556;2863140;35,83;5069076;951480;124
08:04:01 AM   1541072   6448948     80,71    179172   4695564   2863908     35,84   5069216    951476       124;;;;;;;;;;;;;8:04:01;AM;1541072;6448948;80,71;179172;4695564;2863908;35,84;5069216;951476;124
08:04:11 AM   1540528   6449492     80,72    179172   4695568   2863672     35,84   5070032    951476       116;;;;;;;;;;;;;8:04:11;AM;1540528;6449492;80,72;179172;4695568;2863672;35,84;5070032;951476;116
08:04:21 AM   1540588   6449432     80,72    179172   4695572   2863144     35,83   5069912    951476       104;;;;;;;;;;;;;8:04:21;AM;1540588;6449432;80,72;179172;4695572;2863144;35,83;5069912;951476;104
08:04:31 AM   1540924   6449096     80,71    179172   4695580   2863380     35,84   5068404    951476       116;;;;;;;;;;;;;8:04:31;AM;1540924;6449096;80,71;179172;4695580;2863380;35,84;5068404;951476;116
08:04:41 AM   1540148   6449872     80,72    179172   4695588   2863144     35,83   5069076    951476        84;;;;;;;;;;;;;8:04:41;AM;1540148;6449872;80,72;179172;4695588;2863144;35,83;5069076;951476;84
08:04:51 AM   1540844   6449176     80,72    179172   4695592   2863144     35,83   5069048    951476       120;;;;;;;;;;;;;8:04:51;AM;1540844;6449176;80,72;179172;4695592;2863144;35,83;5069048;951476;120
