Linux 3.10.0-1160.76.1.el7.x86_64 (lt-uxcrowd.ru) 	05/07/2024 	_x86_64_	(6 CPU)

07:57:27 AM       tps      rtps      wtps   bread/s   bwrtn/s
07:57:37 AM      0.90      0.00      0.90      0.00     26.40
07:57:47 AM      2.80      0.00      2.80      0.00     49.60
07:57:57 AM      2.80      0.00      2.80      0.00     63.20
07:58:07 AM      1.00      0.00      1.00      0.00     24.00
07:58:17 AM      5.20      0.00      5.20      0.00     88.80
07:58:27 AM      2.20      0.00      2.20      0.00     40.80
07:58:37 AM      1.30      0.00      1.30      0.00     28.80
07:58:47 AM      1.50      0.00      1.50      0.00     33.60
07:58:57 AM      2.90      0.00      2.90      0.00     38.40
07:59:07 AM      1.40      0.00      1.40      0.00     29.60
07:59:17 AM      1.80      0.00      1.80      0.00     36.00
07:59:27 AM      2.70      0.00      2.70      0.00     49.60
07:59:37 AM      0.80      0.00      0.80      0.00     18.40
07:59:47 AM      1.50      0.00      1.50      0.00     32.80
07:59:57 AM      4.00      0.00      4.00      0.00     68.80
08:00:07 AM      1.50      0.00      1.50      0.00     40.80
08:00:17 AM      1.20      0.00      1.20      0.00     25.60
08:00:27 AM      2.10      0.00      2.10      0.00     39.20
08:00:37 AM      3.60      0.00      3.60      0.00     50.40
08:00:47 AM      1.40      0.00      1.40      0.00     35.20
08:00:57 AM      1.80      0.00      1.80      0.00     30.40
08:01:07 AM      3.80      0.00      3.80      0.00     60.80
08:01:17 AM      1.70      0.00      1.70      0.00     33.60
08:01:27 AM      2.10      0.00      2.10      0.00     42.40
08:01:37 AM      1.50      0.00      1.50      0.00     28.00
08:01:47 AM      3.50      0.00      3.50      0.00     52.80
08:01:57 AM      2.80      0.00      2.80      0.00     62.40
08:02:07 AM      1.00      0.00      1.00      0.00     24.00
08:02:17 AM      2.80      0.00      2.80      0.00     43.20
08:02:27 AM      2.20      0.00      2.20      0.00     41.60
08:02:37 AM      1.40      0.00      1.40      0.00     31.20
08:02:47 AM      1.30      0.00      1.30      0.00     32.00
08:02:57 AM      3.60      0.00      3.60      0.00     44.80
08:03:07 AM      1.10      0.00      1.10      0.00     24.80
08:03:17 AM      3.80      0.00      3.80      0.00     82.40
08:03:27 AM      5.00      0.00      5.00      0.00     78.40
08:03:37 AM      1.30      0.00      1.30      0.00     29.60
08:03:47 AM      1.30      0.00      1.30      0.00     27.20
08:03:57 AM      2.70      0.00      2.70      0.00     60.80
08:04:07 AM      2.80      0.00      2.80      0.00     48.75
08:04:17 AM      1.50      0.00      1.50      0.00     32.80
08:04:27 AM      2.10      0.00      2.10      0.00     30.40
08:04:37 AM      2.50      0.00      2.50      0.00     41.60
