Linux 3.10.0-1160.76.1.el7.x86_64 (lt-uxcrowd.ru) 	05/07/2024 	_x86_64_	(6 CPU)

07:57:18 AM    proc/s   cswch/s
07:57:28 AM      1.50    235.50
07:57:38 AM      1.30    404.90
07:57:48 AM      0.90    336.60
07:57:58 AM      0.90    243.50
07:58:08 AM      0.80    396.20
07:58:18 AM      0.80    203.60
07:58:28 AM      0.90    217.60
07:58:38 AM      0.80    332.00
07:58:48 AM      0.80    179.60
07:58:58 AM      0.90    229.80
07:59:08 AM      1.20    385.80
07:59:18 AM      0.80    207.90
07:59:28 AM      0.90    204.20
07:59:38 AM      0.80    287.80
07:59:48 AM      0.80    169.70
07:59:58 AM      0.90    237.00
08:00:08 AM      1.60    317.10
08:00:18 AM      0.80    193.70
08:00:28 AM      0.90    356.30
08:00:38 AM      0.80    233.10
08:00:48 AM      0.80    162.20
08:00:58 AM      0.90    368.20
08:01:08 AM      2.20    272.80
08:01:18 AM      1.10    211.40
08:01:28 AM      1.00    215.40
08:01:38 AM      0.80    231.60
08:01:48 AM      1.30    164.20
08:01:58 AM      0.90    241.70
08:02:08 AM      0.80    374.60
08:02:18 AM      0.80    248.50
08:02:28 AM      0.90    188.30
08:02:38 AM      0.80    219.70
08:02:48 AM      0.80    158.10
08:02:58 AM      0.90    221.50
08:03:08 AM      0.80    193.40
08:03:18 AM      0.80    221.20
08:03:28 AM      1.60    232.50
08:03:38 AM      0.80    219.30
08:03:48 AM      1.10    181.60
08:03:58 AM      1.00    238.60
08:04:08 AM      0.80    233.30
08:04:18 AM      1.10    202.90
08:04:28 AM      1.00    512.39
08:04:38 AM      0.80    215.60
08:04:48 AM      1.10    178.00
08:04:58 AM      1.00    428.90
08:05:08 AM      0.80    223.10
08:05:18 AM      1.20    212.50
08:05:28 AM      0.90    398.80
08:05:38 AM      0.80    213.30
08:05:48 AM      0.80    185.00
08:05:58 AM      0.90    213.20
08:06:08 AM      0.80    368.60
08:06:18 AM      0.80    246.00
08:06:28 AM      0.90    215.10
08:06:38 AM      1.30    234.30
08:06:48 AM      0.80    182.90
08:06:58 AM      0.90    541.20
08:07:08 AM      0.80    220.50
08:07:18 AM      0.80    186.40
08:07:28 AM      0.90    487.80
08:07:38 AM      1.20    220.80
08:07:48 AM      0.80    185.70
08:07:58 AM      1.20    347.10
08:08:08 AM      0.90    227.30
08:08:18 AM      0.80    200.80
08:08:28 AM      0.90    222.90
08:08:38 AM      1.10    216.50
08:08:48 AM      1.20    210.60
08:08:58 AM      0.90    329.50
08:09:08 AM      0.80    366.50
08:09:18 AM      0.80    202.20
08:09:28 AM      0.90    230.10
08:09:38 AM      0.80    304.90
08:09:48 AM      0.80    198.30
08:09:58 AM      0.90    214.90
08:10:08 AM      1.50    430.60
08:10:18 AM      0.80    244.60
08:10:28 AM      0.90    228.40
08:10:38 AM      1.20    350.50
08:10:48 AM      0.80    191.90
08:10:58 AM      0.90    283.40
08:11:08 AM      0.80    236.40
08:11:18 AM      0.80    172.90
08:11:28 AM      0.90    345.00
08:11:38 AM      0.80    188.10
08:11:48 AM      0.80    182.80
08:11:58 AM      1.30    239.50
08:12:08 AM      0.80    404.70
08:12:18 AM      0.80    185.10
08:12:28 AM      0.90    252.90
08:12:38 AM      0.80    202.30
08:12:48 AM      0.80    177.50
08:12:58 AM      0.90    551.70
08:13:08 AM      0.80    232.60
08:13:18 AM      0.80    220.90
08:13:28 AM      0.90    355.00
08:13:38 AM      0.80    214.90
08:13:48 AM      0.80    179.10
08:13:58 AM      0.90    320.90
08:14:08 AM      0.80    240.50
08:14:18 AM      0.80    184.50
08:14:28 AM      0.90    206.20
08:14:38 AM      0.80    210.70
08:14:48 AM      0.80    182.70
08:14:58 AM      0.90    292.70
08:15:08 AM      0.80    221.00
08:15:18 AM      0.80    182.20
08:15:28 AM      0.90    209.00
08:15:38 AM      0.80    223.60
08:15:48 AM      1.10    181.30
08:15:58 AM      1.00    318.00
08:16:08 AM      0.80    233.80
08:16:18 AM      0.80    193.00
08:16:28 AM      0.90    390.00
08:16:38 AM      0.80    215.80
08:16:48 AM      0.80    165.00
08:16:58 AM      0.90    223.50
08:17:08 AM      0.80    208.00
08:17:18 AM      0.80    201.80
08:17:28 AM      0.90    431.60
08:17:38 AM      1.20    317.80
08:17:48 AM      0.80    162.00
08:17:58 AM      0.90    240.70
08:18:08 AM      0.90    419.88
08:18:18 AM      0.80    218.60
08:18:28 AM      0.90    379.00
08:18:38 AM      0.80    238.70
08:18:48 AM      1.20    172.50
08:18:58 AM      0.90    381.90
08:19:08 AM      0.80    204.10
08:19:18 AM      0.80    199.10
08:19:28 AM      0.90    348.60
08:19:38 AM      0.80    211.40
08:19:48 AM      0.80    162.40
08:19:58 AM      0.90    222.40
08:20:08 AM      1.50    344.50
08:20:18 AM      0.80    195.00
08:20:28 AM      0.90    193.50
08:20:38 AM      0.80    212.10
08:20:48 AM      0.80    171.00
08:20:58 AM      0.90    223.70
08:21:08 AM      0.80    203.50
08:21:18 AM      0.80    189.60
08:21:28 AM      0.90    215.60
08:21:38 AM      0.80    205.90
08:21:48 AM      0.80    178.70
08:21:58 AM      1.30    615.40
08:22:08 AM      1.20    241.30
08:22:18 AM      0.80    177.80
08:22:28 AM      0.90    207.80
08:22:38 AM      0.80    214.40
08:22:48 AM      0.80    178.00
08:22:58 AM      0.90    341.70
08:23:08 AM      0.80    209.50
08:23:18 AM      0.80    217.40
08:23:28 AM      0.90    379.00
08:23:38 AM      0.80    195.70
08:23:48 AM      0.80    180.90
08:23:58 AM      0.90    208.60
